GEO_ID,NAME,Total_Pop,Total_Pop_ME,Percent_Below_Poverty,Percent_Below_Poverty_ME
1400000US53033003100,"Census Tract 31, King County, Washington",6531,258,3.6,2.1
1400000US53033003200,"Census Tract 32, King County, Washington",9140,637,5.9,2.9
1400000US53033003300,"Census Tract 33, King County, Washington",8185,487,5.6,3.1
1400000US53033003400,"Census Tract 34, King County, Washington",3594,239,3.6,2
1400000US53033003500,"Census Tract 35, King County, Washington",4220,197,7.2,2.5
1400000US53033003600,"Census Tract 36, King County, Washington",7558,453,10,3.5
1400000US53033003800,"Census Tract 38, King County, Washington",2451,153,6.4,2.4
1400000US53033003900,"Census Tract 39, King County, Washington",3090,187,6.7,3.8
1400000US53033004000,"Census Tract 40, King County, Washington",3188,238,14.1,5.3
1400000US53033004100,"Census Tract 41, King County, Washington",7978,463,5.6,2.4
1400000US53033004200,"Census Tract 42, King County, Washington",8088,444,4,1.6
1400000US53033004301,"Census Tract 43.01, King County, Washington",3969,261,26.4,6.3
1400000US53033004302,"Census Tract 43.02, King County, Washington",3119,398,44,8.4
1400000US53033004400,"Census Tract 44, King County, Washington",7445,829,31.1,7.6
1400000US53033004500,"Census Tract 45, King County, Washington",3388,401,21.8,9
1400000US53033004600,"Census Tract 46, King County, Washington",3627,203,4.9,2.1
1400000US53033004700,"Census Tract 47, King County, Washington",10303,619,5.1,2.1
1400000US53033004800,"Census Tract 48, King County, Washington",5415,333,4,1.8
1400000US53033004900,"Census Tract 49, King County, Washington",7245,561,5.3,2.3
1400000US53033005000,"Census Tract 50, King County, Washington",4404,551,4.7,2.2
1400000US53033005100,"Census Tract 51, King County, Washington",3687,236,11,4.4
1400000US53033005200,"Census Tract 52, King County, Washington",6891,659,37.1,8
1400000US53033005301,"Census Tract 53.01, King County, Washington",6446,603,58.1,7.2
1400000US53033005302,"Census Tract 53.02, King County, Washington",200,58,50.5,18.6
1400000US53033005400,"Census Tract 54, King County, Washington",6417,406,6.4,3
1400000US53033005600,"Census Tract 56, King County, Washington",7038,384,3.8,2
1400000US53033005700,"Census Tract 57, King County, Washington",6851,324,4,2.1
1400000US53033005801,"Census Tract 58.01, King County, Washington",5766,409,8.1,3.9
1400000US53033005802,"Census Tract 58.02, King County, Washington",6006,425,12.4,5.8
1400000US53033005900,"Census Tract 59, King County, Washington",6828,427,11,4.5
1400000US53033006000,"Census Tract 60, King County, Washington",6112,361,9.2,4.3
1400000US53033006100,"Census Tract 61, King County, Washington",5412,460,6.4,2.9
1400000US53033006200,"Census Tract 62, King County, Washington",4466,257,3,1.8
1400000US53033006300,"Census Tract 63, King County, Washington",5826,574,4.2,2.7
1400000US53033006400,"Census Tract 64, King County, Washington",3724,196,4.6,2.3
1400000US53033006500,"Census Tract 65, King County, Washington",4912,484,4.6,2.2
1400000US53033006600,"Census Tract 66, King County, Washington",4261,399,9.7,3.4
1400000US53033006700,"Census Tract 67, King County, Washington",9365,834,3.3,2.2
1400000US53033006800,"Census Tract 68, King County, Washington",3472,230,2.9,1.8
1400000US53033006900,"Census Tract 69, King County, Washington",5148,395,4.6,2.7
1400000US53033007000,"Census Tract 70, King County, Washington",7454,497,8.9,3.5
1400000US53033007100,"Census Tract 71, King County, Washington",5285,431,8.5,3.7
1400000US53033007200,"Census Tract 72, King County, Washington",11112,986,9.5,3.6
1400000US53033007300,"Census Tract 73, King County, Washington",8447,512,14.2,3.1
1400000US53033007401,"Census Tract 74.01, King County, Washington",5662,335,6.1,2.9
1400000US53033007402,"Census Tract 74.02, King County, Washington",5702,386,16.5,4.8
1400000US53033007500,"Census Tract 75, King County, Washington",9387,773,12.3,4.3
1400000US53033007600,"Census Tract 76, King County, Washington",4531,327,14.9,6.1
1400000US53033007700,"Census Tract 77, King County, Washington",5440,377,5.5,3.1
1400000US53033007800,"Census Tract 78, King County, Washington",5900,363,4.1,2.4
1400000US53033007900,"Census Tract 79, King County, Washington",6397,332,15.4,4.3
1400000US53033008001,"Census Tract 80.01, King County, Washington",7183,534,7.6,3.1
1400000US53033008002,"Census Tract 80.02, King County, Washington",3744,328,16.8,4.4
1400000US53033008100,"Census Tract 81, King County, Washington",4661,465,21.5,4.8
1400000US53033008200,"Census Tract 82, King County, Washington",4276,399,9.9,4.2
1400000US53033008300,"Census Tract 83, King County, Washington",3099,288,15.1,4.2
1400000US53033008400,"Census Tract 84, King County, Washington",5054,397,5.7,2.5
1400000US53033008500,"Census Tract 85, King County, Washington",2645,252,18.1,5.5
1400000US53033008600,"Census Tract 86, King County, Washington",4617,554,25.5,8.2
1400000US53033008700,"Census Tract 87, King County, Washington",4375,379,21.8,6
1400000US53033008800,"Census Tract 88, King County, Washington",4610,372,7.5,5.7
1400000US53033008900,"Census Tract 89, King County, Washington",6045,409,12.7,5.2
1400000US53033009000,"Census Tract 90, King County, Washington",3337,251,19.5,4.5
1400000US53033009100,"Census Tract 91, King County, Washington",2595,313,17,5.1
1400000US53033009200,"Census Tract 92, King County, Washington",2581,278,34.3,5.2
1400000US53033009300,"Census Tract 93, King County, Washington",3108,363,13.7,5.6
1400000US53033009400,"Census Tract 94, King County, Washington",7046,603,13.7,4.8
1400000US53033009500,"Census Tract 95, King County, Washington",6750,403,5.9,2.6
1400000US53033009600,"Census Tract 96, King County, Washington",5667,342,2,1.2
1400000US53033009701,"Census Tract 97.01, King County, Washington",5999,396,2.6,1.6
1400000US53033009702,"Census Tract 97.02, King County, Washington",5695,373,1.7,1.2
1400000US53033009800,"Census Tract 98, King County, Washington",7318,384,4.8,2.2
1400000US53033009900,"Census Tract 99, King County, Washington",5896,493,6.3,4
1400000US53033010001,"Census Tract 100.01, King County, Washington",4559,377,19.8,7.8
1400000US53033010002,"Census Tract 100.02, King County, Washington",4824,411,7.9,2.9
1400000US53033010100,"Census Tract 101, King County, Washington",8487,583,16.8,5.1
1400000US53033010200,"Census Tract 102, King County, Washington",4934,263,3.8,1.5
1400000US53033010300,"Census Tract 103, King County, Washington",7425,932,18.7,8
